Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
07/04/2021,134.93,2976136,133.84,134.94,133.78,1,0,1,-1
08/04/2021,135.12,4087228,134.57,135.6299,134.16,1,1,0,1
09/04/2021,135.73,3023916,134.87,135.74,134.71,1,1,1,1
10/04/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
11/04/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
12/04/2021,134.59,3753959,135.02,135.37,133.85,0,1,0,1
13/04/2021,131.18,8033530,133,133.62,130.38,0,0,-1,-1
14/04/2021,132.63,5868049,131.305,132.78,130.52,1,1,1,0
15/04/2021,132.58,3883955,133.28,133.87,132.22,0,0,-1,1
16/04/2021,133.59,5291756,133,134.1,132.95,1,1,0,0
17/04/2021,133.61,4811004,133.1625,134.075,132.185,1,1,0,0
18/04/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
19/04/2021,133.12,8198582,133.6,133.815,132.58,0,0,0,0
20/04/2021,138.16,15480580,137.07,139.77,136.7,1,1,1,1
21/04/2021,143.55,11909010,138.06,143.73,137.71,1,1,1,1
22/04/2021,141.28,7101368,143.7,144.74,141,0,0,-1,1
23/04/2021,142.43,4556700,141.31,143.61,140.95,1,1,1,-1
24/04/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
25/04/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
26/04/2021,141.57,4710763,142.42,143.63,141.48,0,1,-1,1
27/04/2021,142.01,3884037,141.69,142.56,140.75,1,1,0,0
28/04/2021,143,3768129,142.92,143.4,142.1,1,1,0,1
29/04/2021,144.24,4353880,144.13,148.74,142.98,1,1,0,1
30/04/2021,141.88,8872181,143.7,143.83,140.55,0,0,-1,-1
01/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
02/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
03/05/2021,144.75,5733463,143.81,145.75,143.55,1,1,1,1
04/05/2021,145.75,6350479,144.41,146.59,144.33,1,1,1,1
05/05/2021,145.22,3622786,145.94,146,144.3592,0,0,0,1
06/05/2021,148.42,7503487,145.26,148.515,145.18,1,1,1,1
07/05/2021,145.46,7003467,145.92,146.14,144.57,0,0,0,0
08/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
09/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
10/05/2021,146.17,6983377,145.8,148.38,145.8,1,1,0,1
11/05/2021,144.22,7126404,144.99,145.19,142.9,0,0,-1,-1
12/05/2021,141.3,5959579,143.84,144.15,141.14,0,0,-1,-1
13/05/2021,144.17,4598920,141.45,144.9,141.28,1,1,1,0
14/05/2021,144.68,2747385,145.11,145.69,143.96,0,1,0,1
