Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
07/04/2021,249.9,22719840,247.81,250.93,247.19,1,0,1,-1
08/04/2021,253.25,23625200,252.77,254.139,252,1,1,0,1
09/04/2021,255.85,24326830,252.87,255.99,252.44,1,1,1,1
10/04/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,1
11/04/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
12/04/2021,255.91,27148670,254.71,257.67,254.62,1,1,0,0
13/04/2021,258.49,23837470,257.257,259.19,256.83,1,1,0,1
14/04/2021,255.59,23070940,257.475,258.83,255.16,0,0,-1,-1
15/04/2021,259.5,25627480,257.931,259.93,257.73,1,1,1,1
16/04/2021,260.74,24878580,259.47,261,257.6014,1,1,0,1
17/04/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
18/04/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
19/04/2021,258.74,23209260,260.19,261.48,257.821,0,1,-1,1
20/04/2021,258.26,19722880,257.82,260.2,256.84,1,0,0,-1
21/04/2021,260.58,24030380,258.94,260.68,257.25,1,1,1,1
22/04/2021,257.17,25606150,260.21,261.78,255.64,0,0,-1,-1
23/04/2021,261.15,21499290,257.88,261.51,257.27,1,1,1,0
24/04/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
25/04/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
26/04/2021,261.55,19763350,261.66,262.435,260.17,0,1,0,1
27/04/2021,261.97,31014210,261.585,263.19,260.12,1,1,0,0
28/04/2021,254.56,46903120,256.078,256.5399,252.95,0,0,-1,-1
29/04/2021,252.51,40589020,255.46,256.1,249,0,0,-1,-1
30/04/2021,252.18,30945100,249.74,253.08,249.6,1,0,1,-1
01/05/2021,255.75,25109805,256.0925,258.25,254.89,0,1,0,1
02/05/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
03/05/2021,251.86,19626570,253.4,254.35,251.12,0,0,-1,-1
04/05/2021,247.79,32756050,250.97,251.21,245.76,0,0,-1,-1
05/05/2021,246.47,21901330,249.06,249.5,245.82,0,0,-1,-1
